===============================================================================
Id,AMZN,len,datetime,open,high,low,close,volume,openinterest,adjclose,,len,datetime,open,high,low,close,volume,openinterest,SmaCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,AMZN,
1,AMZN,1,2011-01-03 23:59:59.999989,181.37,186.0,181.21,184.22,5331400.0,0.0,184.220001,,1,2011-01-03 23:59:59.999989,181.37,186.0,181.21,184.22,5331400.0,0.0,SmaCross,1,734140.9999999999,Broker,1,10000.0,10000.0,BuySell,1,,,BuySell,1,,,DataTrades,1,,
2,AMZN,2,2011-01-04 23:59:59.999989,186.15,187.7,183.78,185.01,5031800.0,0.0,185.009995,,2,2011-01-04 23:59:59.999989,186.15,187.7,183.78,185.01,5031800.0,0.0,SmaCross,2,734141.9999999999,Broker,2,10000.0,10000.0,BuySell,2,,,BuySell,2,,,DataTrades,2,,
3,AMZN,3,2011-01-05 23:59:59.999989,184.1,187.45,184.07,187.42,3418800.0,0.0,187.419998,,3,2011-01-05 23:59:59.999989,184.1,187.45,184.07,187.42,3418800.0,0.0,SmaCross,3,734142.9999999999,Broker,3,10000.0,10000.0,BuySell,3,,,BuySell,3,,,DataTrades,3,,
4,AMZN,4,2011-01-06 23:59:59.999989,186.5,187.41,185.25,185.86,3179700.0,0.0,185.860001,,4,2011-01-06 23:59:59.999989,186.5,187.41,185.25,185.86,3179700.0,0.0,SmaCross,4,734143.9999999999,Broker,4,10000.0,10000.0,BuySell,4,,,BuySell,4,,,DataTrades,4,,
5,AMZN,5,2011-01-07 23:59:59.999989,187.88,188.45,183.74,185.49,5221700.0,0.0,185.490005,,5,2011-01-07 23:59:59.999989,187.88,188.45,183.74,185.49,5221700.0,0.0,SmaCross,5,734144.9999999999,Broker,5,10000.0,10000.0,BuySell,5,,,BuySell,5,,,DataTrades,5,,
6,AMZN,6,2011-01-10 23:59:59.999989,185.04,185.29,182.51,184.68,3375900.0,0.0,184.679993,,6,2011-01-10 23:59:59.999989,185.04,185.29,182.51,184.68,3375900.0,0.0,SmaCross,6,734147.9999999999,Broker,6,10000.0,10000.0,BuySell,6,,,BuySell,6,,,DataTrades,6,,
7,AMZN,7,2011-01-11 23:59:59.999989,185.42,186.0,183.21,184.34,2814200.0,0.0,184.339996,,7,2011-01-11 23:59:59.999989,185.42,186.0,183.21,184.34,2814200.0,0.0,SmaCross,7,734148.9999999999,Broker,7,10000.0,10000.0,BuySell,7,,,BuySell,7,,,DataTrades,7,,
8,AMZN,8,2011-01-12 23:59:59.999989,185.36,185.38,183.3,184.08,2679100.0,0.0,184.080002,,8,2011-01-12 23:59:59.999989,185.36,185.38,183.3,184.08,2679100.0,0.0,SmaCross,8,734149.9999999999,Broker,8,10000.0,10000.0,BuySell,8,,,BuySell,8,,,DataTrades,8,,
9,AMZN,9,2011-01-13 23:59:59.999989,183.6,186.45,183.51,185.53,3367000.0,0.0,185.529999,,9,2011-01-13 23:59:59.999989,183.6,186.45,183.51,185.53,3367000.0,0.0,SmaCross,9,734150.9999999999,Broker,9,10000.0,10000.0,BuySell,9,,,BuySell,9,,,DataTrades,9,,
10,AMZN,10,2011-01-14 23:59:59.999989,185.5,188.94,184.92,188.75,3662800.0,0.0,188.75,,10,2011-01-14 23:59:59.999989,185.5,188.94,184.92,188.75,3662800.0,0.0,SmaCross,10,734151.9999999999,Broker,10,10000.0,10000.0,BuySell,10,,,BuySell,10,,,DataTrades,10,,
